id,expected,corpus,split,sourceUrl,year,team,name,playerType,before,after
SEASON_8ba2890d0178b0a59066,10,Article2010,Validation,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/838f.jpg,2001,한화,데이비스,Hitter,10,9
SEASON_c6310b6718412444a86a,10,Article2010,Validation,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/841f.jpg,2005,한화,데이비스,Hitter,10,9
SEASON_2ea439e6894b4a03fb89,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1087f.jpg,2006,LG,박용택,Hitter,10,9
SEASON_5cb5b9493464cbe86e61,10,Article2010,Validation,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1107f.jpg,2006,SK,박재홍,Hitter,8,8
SEASON_2473821c363862cacbd1,10,Article2010,Validation,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1413f.jpg,2000,한화,송지만,Hitter,10,9
SEASON_ae2204932fd7a2ada6f5,10,Article2010,Validation,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1415f.jpg,2002,한화,송지만,Hitter,10,9
SEASON_69a529483fca15cad7fd,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1533f.jpg,2001,두산,심재학,Hitter,8,8
SEASON_73a04756f9800d3ea387,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1543f.jpg,2002,현대,심정수,Hitter,10,10
SEASON_d26be21efe6c56ecb444,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1548f.jpg,2007,삼성,심정수,Hitter,8,8
SEASON_ada614da6d12b912b4ee,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3291f.jpg,2009,KIA,구톰슨,Pitcher,9,9
SEASON_b3b5a484f7aefde708de,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/218f.jpg,2006,KIA,그레이싱어,Pitcher,9,9
SEASON_cf286b89a58cc1728796,9,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3301f.jpg,2009,SK,글로버,Pitcher,8,8
SEASON_46d6ba4153e678f9c23f,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/683f.jpg,2003,KIA,김진우,Pitcher,8,8
SEASON_afc9a1e2404b42a8f22d,9,Article2010,Validation,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/856f.jpg,2006,두산,랜들,Pitcher,9,9
SEASON_49b98a69f28874e73081,9,Article2010,Validation,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/857f.jpg,2007,두산,랜들,Pitcher,8,8
SEASON_b5b51cde5a0ec9933843,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/862f.jpg,2004,두산,레스,Pitcher,10,10
SEASON_26fe4e6c860818bc9bc8,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/886f.jpg,2008,한화,류현진,Pitcher,8,8
SEASON_38291e56cf170e92413c,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1034f.jpg,2004,두산,박명환,Pitcher,9,9
SEASON_d52b5aab917ea9649a78,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1228f.jpg,2005,삼성,배영수,Pitcher,9,9
