"WorkbookRow","Year","TeamContext","PlayerName","Cost","SourceDate","SourceUrl","SameYearNameCandidates","SameArticleSameCostCandidates","SameArticleOtherCostCandidates","ReviewStatus"
"172","2005","롯데","손민한","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"173","1992","롯데","염종석","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"174","2010","롯데","사도스키","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"175","2009","롯데","임경완","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"176","2007","롯데","최대성","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"177","2008","롯데","강영식","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"178","2013","롯데","이명우","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"179","2000","롯데","강상수","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"180","1995","롯데","박동희","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"181","1983","넥센","장명부","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"182","2012","넥센","나이트","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"183","1999","넥센","정민태","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"184","1991","넥센","최창호","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"185","2012","넥센","밴헤켄","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"186","1995","넥센","정명원","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"187","1999","넥센","조웅천","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"188","1992","넥센","박은진","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"189","2003","넥센","이상열","6","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
